Categoria,Marca,Modelo,Versão,Motor,Tipo de Propulsão (Combustão / Híbrido / Plug-in / Elétrico),Transmissão e Velocidades (Manual=M / Automática=A / Dupla Embreagem=DCT / Automatizada=MTA / Contínua=CVT),Ar Condicionado (S=Sim / N=Não),Direção Assistida (H=Hidráulica / M=Mecânica / E=Elétrica / E-H=Eletro-hidráulica),Combustível (E=Elétrico / G=Gasolina / F=Flex / D=Diesel),Emissões Poluentes - NMOG+NOx (mg/km),Emissões Poluentes - CO (mg/km),Emissões Poluentes - CHO Aldeídos (mg/km),Emissões Poluentes - Redução Relativa ao Limite (A=≥40% abaixo PROCONVE L7 / B=<40%),Emissões GEE - CO2 Fóssil Etanol (g/km),Emissões GEE - CO2 Fóssil Gasolina ou Diesel (g/km),Emissões GEE - CO2e Fóssil VEHP Plug-in (g/km),Consumo Etanol - Cidade (km/l),Consumo Etanol - Estrada (km/l),Consumo Gasolina ou Diesel - Cidade (km/l),Consumo Gasolina ou Diesel - Estrada (km/l),Consumo Elétrico - Cidade (km/le),Consumo Elétrico - Estrada (km/le),Consumo Energético (MJ/km),Autonomia Modo Elétrico (km),Classificação PBE - Relativa na Categoria (A=Mais Eficiente / B / C / D / E=Menos Eficiente),Classificação PBE - Absoluta Geral (A=Mais Eficiente / B / C / D / E=Menos Eficiente),Selo CONPET de Eficiência Energética (SIM / NÃO),Transmissão - Tipo,Transmissão - Nº Velocidades,Combustível - Descrição,Consumo Gasolina ou Diesel - Combinado (km/l),Consumo Etanol - Combinado (km/l),Consumo Elétrico - Combinado (km/le),Faixa CO2 Gasolina/Diesel (g/km),Zero Emissão (Elétrico Puro),Eletrificado (Elétrico/Híbrido/Plug-in)
Comercial,BYD,ET3,---,Elétrico,Elétrico,,S,E,E,0.0,0.0,0.0,A,,0.0,,,,,,30.7,26.3,0.71,170.0,A,A,NÃO,,,Elétrico,,,28.72,0-50,True,True
Comercial,CHEV,ONIX,10MT LOG (MY25),1.0 - 12 V,Combustão,M-6,S,E,F,43.0,338.0,4.0,B,0.0,90.0,,9.3,11.4,13.3,16.5,,,1.46,,A,B,SIM,M,6.0,Flex,14.74,10.24,,51-100,False,False
Comercial,CHEV,ONIX,10MT LOG (MY25.5),1.0 - 12 V,Combustão,M-6,S,E,F,34.0,137.0,3.0,B,0.0,87.0,,9.6,11.9,13.8,16.9,,,1.41,,A,B,SIM,M,6.0,Flex,15.2,10.64,,51-100,False,False
Comercial,CITROEN,E-JUMPY,CARGO,Elétrico,Elétrico,A-1,S,E-H,E,,,,A,,0.0,,,,,,34.4,24.6,0.7,289.0,A,A,NÃO,A,1.0,Elétrico,,,29.99,0-50,True,True
Comercial,CITROEN,JUMPER,CARGOL2,2.2 T,Combustão,M-6,S,H,D,12.0,20.0,,A,,200.0,,,,10.0,9.9,,,2.7,,B,E,NÃO,M,6.0,Diesel,9.96,,,151-200,False,False
Comercial,CITROEN,JUMPER,CARGOL2 (MY25),2.2 T,Combustão,M-6,S,H,D,35.0,40.0,,A,,201.0,,,,10.0,9.7,,,2.72,,B,E,NÃO,M,6.0,Diesel,9.86,,,201-250,False,False
Comercial,CITROEN,JUMPER,CARGOPK,2.2 T,Combustão,M-6,S,H,D,12.0,20.0,,A,,200.0,,,,10.0,9.9,,,2.7,,B,E,NÃO,M,6.0,Diesel,9.96,,,151-200,False,False
Comercial,CITROEN,JUMPER,CARGOPK (MY25),2.2 T,Combustão,M-6,S,H,D,35.0,40.0,,A,,201.0,,,,10.0,9.7,,,2.72,,B,E,NÃO,M,6.0,Diesel,9.86,,,201-250,False,False
Comercial,CITROEN,JUMPER,FURG PK,2.2 T,Combustão,M-6,S,H,D,12.0,20.0,,A,,200.0,,,,10.0,9.9,,,2.7,,B,E,NÃO,M,6.0,Diesel,9.96,,,151-200,False,False
Comercial,CITROEN,JUMPER,FURG PK (MY25),2.2 T,Combustão,M-6,S,H,D,35.0,40.0,,A,,201.0,,,,10.0,9.7,,,2.72,,B,E,NÃO,M,6.0,Diesel,9.86,,,201-250,False,False
